,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3143,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3144,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3145,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3146,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3147,1,720.0,79.0,799.0,18,129.6,590.4,3,black
3148,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3149,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3150,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3151,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3152,1,275.0,89.0,364.0,13,35.75,239.25,0,pink
3153,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3154,1,142.45,48.82,191.27,18,25.641,116.809,2,dark purple
3155,1,175.0,40.18,215.18,18,31.5,143.5,2,dark purple
3156,1,899.0,89.0,988.0,18,161.82,737.18,1,purple
3157,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3158,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3159,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3160,1,320.0,89.0,409.0,17,54.4,265.6,0,pink
3161,1,405.0,69.0,474.0,17,68.85,336.15,0,pink
3162,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3163,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3164,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3165,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3166,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3167,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3168,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3169,1,200.0,89.0,289.0,13,26.0,174.0,2,dark purple
3170,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3171,1,664.0,79.0,743.0,17,112.88,551.12,3,black
3172,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3173,1,200.0,79.0,279.0,13,26.0,174.0,2,dark purple
3174,1,495.0,89.0,584.0,13,64.35,430.65,0,pink
3175,1,750.0,89.0,839.0,13,97.5,652.5,3,black
3176,1,138.0,89.0,227.0,18,24.84,113.16,2,dark purple
3177,1,104.0,89.0,193.0,18,18.72,85.28,2,dark purple
3178,1,104.0,89.0,193.0,18,18.72,85.28,2,dark purple
3179,1,104.0,89.0,193.0,13,13.52,90.48,2,dark purple
3180,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3181,1,415.0,89.0,504.0,18,74.7,340.3,0,pink
3182,1,195.0,79.0,274.0,18,35.1,159.9,2,dark purple
3183,1,479.0,89.0,568.0,13,62.27,416.73,0,pink
3184,1,664.0,79.0,743.0,17,112.88,551.12,3,black
3185,1,320.0,79.0,399.0,17,54.4,265.6,0,pink
3186,1,355.0,79.0,434.0,17,60.35,294.65,0,pink
3187,1,479.0,89.0,568.0,13,62.27,416.73,0,pink
3188,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3189,1,192.0,79.0,271.0,18,34.56,157.44,2,dark purple
3190,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3191,1,192.0,89.0,281.0,18,34.56,157.44,2,dark purple
3192,1,725.0,89.0,814.0,13,94.25,630.75,3,black
3193,1,104.0,89.0,193.0,13,13.52,90.48,2,dark purple
3194,1,285.0,79.0,364.0,18,51.3,233.7,0,pink
3195,1,310.0,79.0,389.0,13,40.3,269.7,0,pink
3196,1,138.0,89.0,227.0,18,24.84,113.16,2,dark purple
3197,1,99.0,89.0,188.0,13,12.87,86.13,2,dark purple
3198,1,99.0,89.0,188.0,13,12.87,86.13,2,dark purple
3199,1,310.0,89.0,399.0,13,40.3,269.7,0,pink
3200,1,753.0,79.0,832.0,13,97.89,655.11,3,black
3201,1,207.0,89.0,296.0,18,37.26,169.74,2,dark purple
3202,2,360.0,89.0,449.0,18,64.8,295.2,0,pink
3203,1,207.0,89.0,296.0,18,37.26,169.74,2,dark purple
3204,1,207.0,89.0,296.0,18,37.26,169.74,2,dark purple
3205,1,207.0,89.0,296.0,18,37.26,169.74,2,dark purple
3206,1,142.45,89.0,231.45,18,25.641,116.809,2,dark purple
3207,1,495.0,89.0,584.0,13,64.35,430.65,0,pink
3208,1,109.0,89.0,198.0,13,14.17,94.83,2,dark purple
3209,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3210,1,725.0,89.0,814.0,13,94.25,630.75,3,black
3211,1,381.0,89.0,470.0,18,68.58,312.42,0,pink
3212,1,479.0,89.0,568.0,13,62.27,416.73,0,pink
3213,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3214,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3215,1,381.0,89.0,470.0,18,68.58,312.42,0,pink
3216,1,199.0,89.0,288.0,13,25.87,173.13,2,dark purple
3217,1,720.0,89.0,809.0,18,129.6,590.4,3,black
3218,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3219,1,199.0,89.0,288.0,13,25.87,173.13,2,dark purple
3220,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3221,1,753.0,89.0,842.0,13,97.89,655.11,3,black
3222,1,649.0,89.0,738.0,13,84.37,564.63,3,black
3223,1,753.0,79.0,832.0,13,97.89,655.11,3,black
3224,1,612.0,89.0,701.0,13,79.56,532.44,3,black
3225,1,228.0,79.0,307.0,18,41.04,186.96,2,dark purple
3226,1,228.0,89.0,317.0,18,41.04,186.96,2,dark purple
3227,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3228,1,612.0,79.0,691.0,13,79.56,532.44,3,black
